config_name,cv_mean,cv_std,delta_vs_current_best,max_iter,learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,fold_scores
more_min_samples_leaf,0.8484527022785764,0.023466895995227364,0.011202702278576337,100,0.05,15,30,0.0,"0.87709, 0.87079, 0.81461, 0.83146, 0.84831"
larger_trees,0.8451070240411775,0.010564690867159745,0.007857024041177496,100,0.05,31,20,0.0,"0.85475, 0.85393, 0.82584, 0.84831, 0.84270"
strong_l2_regularization,0.8439959826752872,0.015232284924541723,0.006745982675287143,100,0.05,15,20,1.0,"0.84358, 0.86517, 0.82022, 0.83708, 0.85393"
large_tree_regularized,0.8428347247504865,0.03051207795237029,0.005584724750486436,150,0.04,31,30,0.1,"0.87709, 0.87079, 0.79213, 0.83146, 0.84270"
less_min_samples_leaf,0.8406189190885694,0.015818482580878482,0.0033689190885694,100,0.05,15,10,0.0,"0.84916, 0.84831, 0.81461, 0.83146, 0.85955"
slower_learning_more_iters,0.8406063649488418,0.01707076356800803,0.003356364948841728,200,0.03,15,20,0.0,"0.86034, 0.84831, 0.80899, 0.84270, 0.84270"
light_l2_regularization,0.8394827694432239,0.017804857493787993,0.0022327694432238143,100,0.05,15,20,0.1,"0.86034, 0.85955, 0.81461, 0.83146, 0.83146"
current_best_reference,0.8372481325717155,0.013903002674359552,-1.8674282845632106e-06,100,0.05,15,20,0.0,"0.84916, 0.85393, 0.81461, 0.83708, 0.83146"
faster_learning_fewer_iters,0.8372481325717155,0.012963184259986061,-1.8674282845632106e-06,70,0.08,15,20,0.0,"0.84916, 0.84831, 0.81461, 0.84270, 0.83146"
small_tree_l2,0.8294017952419811,0.021809991557367608,-0.00784820475801895,150,0.04,7,20,0.1,"0.83240, 0.85955, 0.79213, 0.83708, 0.82584"
smaller_trees_more_regular,0.8282593685267716,0.019184259791587367,-0.008990631473228428,100,0.05,7,20,0.0,"0.84916, 0.84831, 0.79775, 0.82584, 0.82022"
